panel_id,row,column,core_24,status,title,claim,plot_and_required_data,existing_evidence_and_next_experiment,work_packages,snapshot_data_keys,publication_matrix_accepted,specification,standalone_pdf,caption_file
F4c,4,c,True,P,Layer-wise BF16 changes,Update sparsity: cumulative changes,方法/检查点 × transformer layers与embedding/head 的累计变化热图,复用历史扫描；全模型按参数数加权；保留ST64/I64及混合历史身份,existing scans,existing cumulative scans: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F5a,5,a,True,E,Teacher-pair overlap across conditions,Teacher influence in one student,行=六个非重复教师对，列=250/500×PG/I64×routed/common共八条件；BF16 support Jaccard,同条件两个bank求均值；不画重复对角/对称单元，支持数与等数量检查保留pairs.csv,completed local probes,local teacher pairs + zero controls,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F5a.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F5b,5,b,True,E,Raw gradient vs BF16 alignment,Teacher influence in one student,x=原始梯度余弦，y=BF16写回余弦；颜色=loss，圆/方=250/500，实心/空心=routed/common,同一图保留全部96个teacher-pair/bank观测；图例只解释编码，实验限制进入caption,completed local probes,local teacher pairs + zero controls,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F5b.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F5c,5,c,True,E,Zero-gradient control,Teacher influence in one student,八条件中每个教师与zero-gradient的Jaccard及逐层随机参照；纵轴对数，按bank显示散点,两个checkpoint、两个loss和两输入已合并；随机参照是期望交/期望并之比，不是E[Jaccard],completed local probes,local teacher pairs + zero controls,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F5c.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F6a,6,a,True,E,Teacher-pair JS across checkpoints,Teacher distribution distance,行=六教师对，列=250/500；两个公共bank的teacher–teacher全词表JS均值,不按loss重复JS，因为教师分布距离与后续local loss选择无关；teacher–student JS仍在CSV,completed local probes,local teacher JS + routed/common pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F6a.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F6b,6,b,True,E,JS vs routed support distance,Teacher distribution distance,x=公共bank JS，y=routed的1−Jaccard；颜色=PG/I64、点形=250/500,单图48个观测，保留所有checkpoint/loss；不拟合回归或独立样本显著性,completed local probes,local teacher JS + routed/common pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F6b.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F6c,6,c,True,E,Same-prefix control,Teacher distribution distance,与F6b相同横纵尺度，纵轴为common输入下1−Jaccard；同样合并250/500和PG/I64,单图48个观测，便于与routed直接比较；输入控制的原始梯度结果同时见F5b,completed local probes,local teacher JS + routed/common pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F6c.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F7a,7,a,True,E,BF16 changed fraction across states,Supervision density: local controls,行=五个学生状态，列=六种目标/控制；阈值1e-5的BF16变化比例，同条件四bank均值,单张矩阵包含所有状态与loss；数值单位10⁻²%，例如3.52表示0.0352%；其他阈值与bank范围保留CSV,completed local probes,local density branches + thresholds + pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F7a.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F7b,7,b,True,E,Gradient and writeback scale,Supervision density: local controls,x=pre-clip gradient L2（symlog），y=BF16写回L2；颜色=目标，点形=学生状态,单图包含五状态×六目标×四bank共120个观测；y明确为观测范围的线性局部坐标；zero重合点不抖动伪造数据,completed local probes,local density branches + thresholds + pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F7b.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F7c,7,c,True,E,Distance to full-vocab step,Supervision density: local controls,行=五个学生状态，列=五个非full目标；与同bank full-vocab BF16参照的余弦均值,不复制不同state图，也不画恒等于1的full/full列；星号mixed history仅在caption解释,completed local probes,local density branches + thresholds + pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F7c.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F8a,8,a,True,N,Actual online BF16 steps,Learning outcomes and actual updates,原轨迹实际相邻BF16更新曲线,本批没有新增在线单步；旧update字段是FP32。保留缺口，不为补图自动启动新训练,existing trajectories,existing evaluations / trajectories: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F8b,8,b,True,P,PG / TopK capability,Learning outcomes and actual updates,现有PG/交集运行的单域math与joint四域能力，标注暴露和切换历史,本批无新能力点；只接入现有评测，不恢复训练种子实验，不以同step替代匹配暴露,existing trajectories,existing evaluations / trajectories: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F8c,8,c,True,P,Capability vs exposure / cost,Learning outcomes and actual updates,现有运行macro对真实generated tokens，附GPU时间和最差域变化,PG旧系列有部分证据；成本按实际运行去重，局部探针开销与训练分开,existing trajectories,existing evaluations / trajectories: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F9a,9,a,False,X,Paired training seeds,Robustness / optional ninth row,原计划为配对训练种子的效应图,用户明确取消全部新增训练种子；不把诊断draw代替，不再列入待启动任务,cancelled / out of scope,cancelled or outside this campaign,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F9b,9,b,False,X,1024 / 4096 response cap,Robustness / optional ninth row,原计划为1024/4096 cap新增训练能力对照,已从当前无新增训练的范围移除；局部512/2048探针不能替代；正文若保留旧承诺须删改而非宣称完成,cancelled / out of scope,cancelled or outside this campaign,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F9c,9,c,False,N,Diagnostic batch sensitivity,Robustness / optional ninth row,固定checkpoint的诊断batch-size敏感性,未包含在完成的31组中，当前不排队；不等quota控制不是1/4/8 batch-size sweep,cancelled / out of scope,cancelled or outside this campaign,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
