panel_id,row,column,core_24,status,title,reviewer_question,suggested_placement,claim,plot_and_required_data,existing_evidence_and_next_experiment,work_packages,snapshot_data_keys,publication_matrix_accepted,specification,standalone_pdf,caption_file
F4b,4,b,True,P,Update energy concentration,,,Update sparsity: cumulative changes,累计 delta 的能量集中度、energy90 与总 L2,旧日志有top1/5/10%离散点；没有连续扫描时不插值为实测全曲线,existing scans,existing cumulative scans: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F4c,4,c,True,P,Layer-wise BF16 changes,,,Update sparsity: cumulative changes,方法/检查点 × transformer layers与embedding/head 的累计变化热图,复用历史扫描；全模型按参数数加权；保留ST64/I64及混合历史身份,existing scans,existing cumulative scans: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F5a,5,a,True,E,Input control for teacher gradients,教师梯度的近正交，是否仍存在于相同输入上？,main,Teacher influence in one student,四行checkpoint/loss × Task/Shared两输入的梯度cosine成对图,正文候选；每点六教师对×两bank均值，线为全观测min–max，不是CI,completed local probes,local teacher pairs + zero controls,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F5a.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F5b,5,b,True,E,Raw gradient vs BF16 alignment,原始梯度近正交，是否意味着实际写回方向也近正交？,main,Teacher influence in one student,八行checkpoint/loss/input × raw gradient/BF16 update两种cosine成对图,正文候选；两系列分开位置，均值和全范围；保留全部96成对观测的两指标,completed local probes,local teacher pairs + zero controls,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F5b.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F5c,5,c,True,E,Zero-gradient control,不同教师的写回是否大量包含zero-gradient也会移动的参数？,appendix,Teacher influence in one student,八条件的zero-gradient Jaccard与逐层随机参照，横轴对数的成对图,补充诊断；每点四教师×两bank，含全范围；随机参照是期望交/期望并,completed local probes,local teacher pairs + zero controls,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F5c.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F6a,6,a,True,E,Teacher-pair JS in common order,哪对教师的输出分布更不同？,appendix,Teacher distribution distance,六教师对 × 两checkpoint的全词表JS均值，按四bank平均JS仅作行排序,补充诊断；不复制loss维度；为F6b/c提供相同教师对顺序,completed local probes,local teacher JS + routed/common pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F6a.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F6b,6,b,True,E,Task-input update-set distance,JS较大的教师对是否也有更不同的更新位置？,appendix,Teacher distribution distance,同序六教师对 × 四checkpoint/loss的task输入1−Jaccard矩阵,补充诊断；两bank单元均值，和F6c共用0–0.4尺度；不拟合回归,completed local probes,local teacher JS + routed/common pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F6b.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F6c,6,c,True,E,Shared-input update-set distance,共享输入后，教师对的更新位置差异如何变化？,appendix,Teacher distribution distance,同序六教师对 × 四checkpoint/loss的shared输入1−Jaccard矩阵,补充诊断；完整输入控制，行列与色标和F6b一致,completed local probes,local teacher JS + routed/common pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F6c.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F7a,7,a,True,E,BF16 changed fraction within states,在同一学生状态上，更密的监督是否明显扩大参数写回范围？,main,Supervision density: local controls,五学生状态 × 六目标的阈值1e-5变化参数百分比，四bank单元均值,正文候选；直接显示0.0352%等数值，横向比较固定状态内的目标,completed local probes,local density branches + thresholds + pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F7a.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F7b,7,b,True,E,Gradient and update norms relative to PG,目标改变了梯度尺度，是否也按同等比例改变写回尺度？,main,Supervision density: local controls,每学生状态Gradient/Update两行 × 五个非PG目标，显示各自四bank范数均值/PG对应均值,正文候选；PG=1明确参照；zero保留；不把范数比例误解为方向或能力,completed local probes,local density branches + thresholds + pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F7b.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F7c,7,c,True,E,Angle to full-vocabulary update,写回范数相近时，方向是否仍有差异？,appendix,Supervision density: local controls,五学生状态 × 五个非full目标，与full BF16写回的方向角（度）,补充诊断；逐bank arccos后平均，不是mean cosine再arccos；mixed历史保留,completed local probes,local density branches + thresholds + pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F7c.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F8a,8,a,True,N,Actual online BF16 steps,,,Learning outcomes and actual updates,原轨迹实际相邻BF16更新曲线,本批没有新增在线单步；旧update字段是FP32。保留缺口，不为补图自动启动新训练,existing trajectories,existing evaluations / trajectories: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F8b,8,b,True,P,PG / TopK capability,,,Learning outcomes and actual updates,现有PG/交集运行的单域math与joint四域能力，标注暴露和切换历史,本批无新能力点；只接入现有评测，不恢复训练种子实验，不以同step替代匹配暴露,existing trajectories,existing evaluations / trajectories: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F8c,8,c,True,P,Capability vs exposure / cost,,,Learning outcomes and actual updates,现有运行macro对真实generated tokens，附GPU时间和最差域变化,PG旧系列有部分证据；成本按实际运行去重，局部探针开销与训练分开,existing trajectories,existing evaluations / trajectories: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F9a,9,a,False,X,Paired training seeds,,,Robustness / optional ninth row,原计划为配对训练种子的效应图,用户明确取消全部新增训练种子；不把诊断draw代替，不再列入待启动任务,cancelled / out of scope,cancelled or outside this campaign,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F9b,9,b,False,X,1024 / 4096 response cap,,,Robustness / optional ninth row,原计划为1024/4096 cap新增训练能力对照,已从当前无新增训练的范围移除；局部512/2048探针不能替代；正文若保留旧承诺须删改而非宣称完成,cancelled / out of scope,cancelled or outside this campaign,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F9c,9,c,False,N,Diagnostic batch sensitivity,,,Robustness / optional ninth row,固定checkpoint的诊断batch-size敏感性,未包含在完成的31组中，当前不排队；不等quota控制不是1/4/8 batch-size sweep,cancelled / out of scope,cancelled or outside this campaign,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
